Brain rank,Model,Brain-Score,IT,Behaviour,Imagenet,NetDissect Units,NetDissect Ratio,NetDissect Concepts
45,"mobilenet_v1_0.75_128
Howard et al., 2017",0.498,0.573,0.284,62.1,,,
46,"mobilenet_v2_1.0_96
Howard et al., 2017",0.496,0.578,0.297,60.3,,,
47,"mobilenet_v2_0.75_128
Howard et al., 2017",0.496,0.578,0.302,63.2,,,
48,"mobilenet_v1_0.5_160
Howard et al., 2017",0.495,0.576,0.289,59.1,,,
49,"mobilenet_v2_0.75_96
Howard et al., 2017",0.494,0.575,0.286,58.8,,,
50,"mobilenet_v2_0.5_128
Howard et al., 2017",0.489,0.574,0.287,57.7,,,
51,"alexnet
Krizhevsky et al., 2012",0.488,0.589,0.245,57.7,132,0.515625,47
52,"mobilenet_v1_0.5_128
Howard et al., 2017",0.479,0.558,0.256,56.3,,,
53,"mobilenet_v1_0.25_224
Howard et al., 2017",0.478,0.574,0.24,49.8,,,
54,"mobilenet_v2_0.5_96
Howard et al., 2017",0.476,0.555,0.262,51.2,,,
55,"mobilenet_v2_0.35_128
Howard et al., 2017",0.472,0.55,0.253,50.8,,,
56,"squeezenet1_1
Iandola et al., 2016",0.469,0.553,0.201,57.5,,,
57,"mobilenet_v2_0.35_96
Howard et al., 2017",0.465,0.54,0.244,45.5,,,
58,"mobilenet_v1_0.25_192
Howard et al., 2017",0.464,0.551,0.242,47.7,,,
59,"mobilenet_v1_0.25_160
Howard et al., 2017",0.459,0.544,0.228,45.5,,,
60,"mobilenet_v1_0.25_128
Howard et al., 2017",0.455,0.527,0.22,41.5,,,
61,"squeezenet1_0
Iandola et al., 2016",0.454,0.542,0.18,57.5,179,0.349609375,64
61,CORnet_z,,0.563,0.27,48,169,0.330078125,52
62,CORnet_r,,0.58,0.245,55,194,0.37890625,64
